epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8118,1.12862,2.7616,1.48618,0.00367,1,0.53822,0.34394,0.72521,3.25282,1.38535,8e-05,8e-05,8e-05
2,91.9885,1.08138,2.41906,1.46243,0.00333,0.90909,0.65009,0.46673,0.82998,3.25714,1.39932,0.000176436,0.000176436,0.000176436
3,134.897,0.97634,1.87886,1.36444,0.00367,1,0.49129,0.30636,1.07712,3.13003,1.56692,0.000268912,0.000268912,0.000268912
4,177.188,0.86536,1.50855,1.29956,0.76033,0.14576,0.52379,0.30828,1.12071,3.08276,1.58888,0.000357428,0.000357428,0.000357428
5,220.326,0.83762,1.59912,1.27228,0.56562,0.54545,0.68787,0.43741,1.06208,3.14996,1.5551,0.000441984,0.000441984,0.000441984
6,275.974,0.92374,1.47993,1.29021,1,0.08838,0.74297,0.48284,0.99106,3.01,1.59605,0.00052258,0.00052258,0.00052258
7,337.15,0.91812,1.41989,1.3112,0.83157,0.44926,0.69994,0.42348,1.26467,3.05638,1.86036,0.000599216,0.000599216,0.000599216
8,397.308,0.93691,1.44422,1.32214,0.80567,0.3778,0.62413,0.38718,1.31408,3.09332,1.81362,0.000671892,0.000671892,0.000671892
9,457.066,1.04312,1.54565,1.40297,0.79353,0.52487,0.71885,0.46174,1.13565,2.75399,1.73,0.000740608,0.000740608,0.000740608
10,515.256,1.01201,1.50902,1.3417,0.82727,0.43637,0.71178,0.39789,1.27926,2.94039,1.97384,0.000805364,0.000805364,0.000805364
11,573.933,0.88604,1.40878,1.28451,0.5274,0.31818,0.44697,0.22031,1.32357,3.12334,2.11123,0.00086616,0.00086616,0.00086616
12,635.322,0.83726,1.3456,1.23934,0.51665,0.38937,0.51869,0.21659,1.63629,3.14063,2.4839,0.000922996,0.000922996,0.000922996
13,700.055,0.91206,1.29135,1.27476,0.54245,0.45455,0.51915,0.23238,1.777,3.1649,2.56076,0.000975872,0.000975872,0.000975872
14,780.964,0.87894,1.2897,1.25406,0.42586,0.54545,0.42862,0.20699,1.89371,3.06271,2.53086,0.00102479,0.00102479,0.00102479
15,858.154,0.8889,1.27259,1.26932,0.45592,0.40909,0.36427,0.20969,1.68906,3.11574,2.30543,0.00106974,0.00106974,0.00106974
16,929.843,1.03829,1.46786,1.45616,0.50405,0.54545,0.47528,0.19519,1.83099,3.16886,2.97071,0.00111074,0.00111074,0.00111074
17,998.939,1.03925,1.35901,1.35594,0.55374,0.56451,0.48857,0.26892,1.6369,2.90539,2.53229,0.00114778,0.00114778,0.00114778
18,1062.41,0.92385,1.21742,1.23915,0.54724,0.36364,0.36069,0.23217,1.5746,3.03659,2.32827,0.00118085,0.00118085,0.00118085
19,1131.92,0.9462,1.30839,1.31789,0.72292,0.35639,0.38432,0.20253,1.76819,3.20465,2.51285,0.00120997,0.00120997,0.00120997
20,1203.9,1.00155,1.34368,1.33334,0.33648,0.40909,0.29752,0.17374,1.87098,3.09558,3.03173,0.00123512,0.00123512,0.00123512
21,1275.48,0.94934,1.30649,1.29461,0.47272,0.40909,0.36071,0.19585,1.84162,3.33133,3.0408,0.001208,0.001208,0.001208
22,1333.38,0.95774,1.25391,1.26884,0.42944,0.58185,0.42354,0.20341,1.84554,2.83106,2.83147,0.0011684,0.0011684,0.0011684
23,1392.04,0.84383,1.16601,1.24891,0.53889,0.53168,0.48072,0.21524,1.70686,2.74381,2.48072,0.0011288,0.0011288,0.0011288
24,1458.53,0.85785,1.18986,1.25618,0.6399,0.5,0.52342,0.23249,1.66132,2.49541,2.31177,0.0010892,0.0010892,0.0010892
25,1517.72,0.8258,1.06548,1.2055,0.58917,0.45455,0.47397,0.2679,1.53131,2.39359,2.19218,0.0010496,0.0010496,0.0010496
26,1587.16,0.8265,1.07006,1.22556,0.63452,0.63153,0.58254,0.33671,1.49986,2.24706,2.34128,0.00101,0.00101,0.00101
27,1648.87,0.82702,1.09386,1.20909,0.61321,0.63636,0.57452,0.32003,1.41328,2.27576,2.32467,0.0009704,0.0009704,0.0009704
28,1712.98,0.84777,1.10208,1.26036,0.84415,0.68182,0.75926,0.50412,1.14242,1.93856,1.71737,0.0009308,0.0009308,0.0009308
29,1784.48,0.83255,1.06309,1.23887,0.86669,0.68182,0.77071,0.54111,1.01813,1.77528,1.58496,0.0008912,0.0008912,0.0008912
30,1851.36,0.8337,1.0034,1.21516,0.64229,0.73478,0.72419,0.50041,0.95653,1.85109,1.50304,0.0008516,0.0008516,0.0008516
31,1908.48,0.76427,0.98377,1.20184,0.5983,0.81818,0.69071,0.45186,1.03859,1.93584,1.57285,0.000812,0.000812,0.000812
32,1972.19,0.75701,0.92378,1.16759,0.76366,0.90909,0.86723,0.56305,1.05228,1.74914,1.57921,0.0007724,0.0007724,0.0007724
33,2050.29,0.70563,0.95688,1.16199,0.79716,0.90909,0.89311,0.62621,1.02639,1.51851,1.51802,0.0007328,0.0007328,0.0007328
34,2109.4,0.71051,0.92361,1.15372,0.7922,0.86364,0.83537,0.56371,1.04904,1.53567,1.56395,0.0006932,0.0006932,0.0006932
35,2168.88,0.76401,0.92102,1.14307,0.81648,0.90909,0.82001,0.51172,1.0754,1.56835,1.5234,0.0006536,0.0006536,0.0006536
36,2245.41,0.78769,0.99265,1.19915,0.7292,0.86364,0.80514,0.50612,1.12593,1.49003,1.73158,0.000614,0.000614,0.000614
37,2329.78,0.69342,0.84984,1.11109,0.78509,0.83061,0.81869,0.50231,1.21409,1.37456,1.88949,0.0005744,0.0005744,0.0005744
38,2413.47,0.75948,0.87356,1.1428,0.70585,0.81818,0.76129,0.51301,1.21081,1.38575,1.85199,0.0005348,0.0005348,0.0005348
