epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1014,1.55688,8.93301,2.04331,0.13924,0.5,0.10405,0.04693,2.32793,85.3769,2.7378,0.00052,0.00052,0.00052
2,95.4391,3.01877,191.378,3.13897,0.00849,0.5,0.00675,0.00134,2.93027,627.633,3.59003,0.0010579,0.0010579,0.0010579
3,212.213,2.93061,190.01,3.08387,0.00136,0.31818,0.00084,0.00027,3.02514,519.285,3.51713,0.00159366,0.00159366,0.00159366
4,306.322,2.94503,216.974,3.11666,0.00117,0.27273,0.00069,0.00023,3.08016,484.337,3.56987,0.00198812,0.00198812,0.00198812
5,425.134,2.79138,187.24,2.96163,0.00117,0.27273,0.00069,0.00021,3.08819,475.702,3.55801,0.00198416,0.00198416,0.00198416
6,525.087,3.74557,97.8778,3.59751,0,0,0,0,nan,nan,nan,0.0019802,0.0019802,0.0019802
7,635.5,3.50423,4.3301,3.55217,0,0,0,0,nan,nan,nan,0.00197624,0.00197624,0.00197624
8,742.45,3.50427,3.80559,3.5816,0,0,0,0,nan,nan,nan,0.00197228,0.00197228,0.00197228
9,855.229,3.4552,3.40643,3.53644,0,0,0,0,nan,nan,nan,0.00196832,0.00196832,0.00196832
10,966.443,3.26157,3.27893,3.41011,0,0,0,0,nan,nan,nan,0.00196436,0.00196436,0.00196436
11,1050.04,3.16475,3.33319,3.31404,0,0,0,0,nan,nan,nan,0.0019604,0.0019604,0.0019604
12,1136.08,3.20335,3.24447,3.34904,0,0,0,0,nan,nan,nan,0.00195644,0.00195644,0.00195644
13,1269.27,3.06216,3.28502,3.25696,0.00727,0.04545,0.00911,0.00192,nan,nan,nan,0.00195248,0.00195248,0.00195248
14,1335.61,3.2573,3.39493,3.4347,0.09091,0.04545,0.01645,0.00504,nan,nan,nan,0.00194852,0.00194852,0.00194852
15,1444.35,3.10764,3.34536,3.29382,0.00274,0.72727,0.00943,0.00286,3.04065,3.07661,3.34488,0.00194456,0.00194456,0.00194456
16,1553.15,3.02605,3.38151,3.27036,0.00328,0.68182,0.01558,0.00388,2.33503,17.5441,2.78172,0.0019406,0.0019406,0.0019406
17,1647.4,3.09957,3.34093,3.33595,0.00297,0.63636,0.01694,0.0045,nan,nan,nan,0.00193664,0.00193664,0.00193664
18,1765.02,3.00534,3.36626,3.32958,0.00257,0.68182,0.00845,0.00281,3.00713,3.46024,3.44962,0.00193268,0.00193268,0.00193268
19,1851.31,3.04004,3.3984,3.37892,0.00287,0.77273,0.01455,0.00559,2.87532,3.39949,3.33476,0.00192872,0.00192872,0.00192872
20,1954.04,2.98745,3.34827,3.29732,0.00361,0.90909,0.04569,0.01612,2.73633,3.38352,3.225,0.00192476,0.00192476,0.00192476
21,2048.16,2.89467,3.35311,3.23016,0.00318,0.72727,0.01766,0.00607,nan,nan,nan,0.0019208,0.0019208,0.0019208
22,2176.3,2.8621,3.31483,3.24027,0.03572,0.13636,0.06682,0.01065,2.53069,3.90624,3.46261,0.00191684,0.00191684,0.00191684
